period,pool_ws3,pool_cbm
1,275970.099746499,272142.6755975244
2,281834.4870308961,276464.6134739835
3,288811.1120535428,282459.8647364614
4,296253.12319673854,289521.30264203355
5,303472.0267335167,296978.8021434668
6,309844.75856366643,304111.85255695006
7,315074.17034826224,310372.59315142746
8,319369.57952358323,315510.45217664563
9,322727.43648407893,319714.3074969875
10,325497.6885059004,323013.14804573415
