period,flux_ws3,flux_cbm
1,4002.031939899448,3984.4365421094935
2,3919.6929745325083,3919.5633106344326
3,3954.627633045443,3961.333267018737
4,4033.7519215263287,4042.245881470613
5,4117.2733975732435,4124.942043923855
6,4189.9393264471355,4196.705104032744
7,4253.251119371116,4259.023329074437
8,4306.352383493233,4311.104691290447
9,4349.584935948281,4353.361960780213
10,4383.109882481618,4385.995321668652
