period,ws3_harvest_area_ha,woodstock_harvest_area_ha,diff_area_pct,ws3_harvest_volume_m3,woodstock_harvest_volume_m3,diff_volume_pct,ws3_growing_stock_m3,woodstock_growing_stock_m3,diff_growing_stock_pct
1,100.0,100.0,0.0,15457.23,15457.23,0.0,142746.01,142746.01,0.0
2,100.0,100.0,0.0,15404.7,15404.7,0.0,140039.22,140039.22,0.0
3,100.0,100.0,0.0,15425.86,15425.86,0.0,137228.87,137228.87,0.0
4,100.0,100.0,0.0,17235.6,17235.6,0.0,134852.23,134852.23,0.0
5,100.0,100.0,0.0,19872.46,19872.46,0.0,129015.55,129015.55,0.0
6,100.0,100.0,0.0,15200.0,15200.0,0.0,125893.9,125893.9,0.0
7,100.0,100.0,0.0,15571.45,15571.45,0.0,121036.36,121036.36,0.0
8,100.0,100.0,0.0,15700.0,15700.0,0.0,116451.33,116451.33,0.0
9,100.0,100.0,0.0,16000.0,16000.0,0.0,113109.84,113109.84,0.0
10,100.0,100.0,0.0,18970.78,18970.78,0.0,109318.84,109318.84,0.0
