theme0,theme1,theme2,theme3,theme4,species,using_age_class,age,area,delay,landclass,historic_disturbance,last_pass_disturbance
tsa24_clipped,0,2401000,100,2401000,softwood,FALSE,85,15.182274886309896,0,0,fire,fire
tsa24_clipped,0,2401000,100,2401000,softwood,FALSE,95,20.653788842921458,0,0,fire,fire
tsa24_clipped,0,2401000,100,2401000,softwood,FALSE,105,1.109374490200082,0,0,fire,fire
tsa24_clipped,0,2401000,100,2401000,softwood,FALSE,125,25.73174833461312,0,0,fire,fire
tsa24_clipped,0,2401000,100,2401000,softwood,FALSE,135,62.02382759721078,0,0,fire,fire
tsa24_clipped,0,2401000,100,2401000,softwood,FALSE,145,45.32228954967691,0,0,fire,fire
tsa24_clipped,0,2401000,100,2401000,softwood,FALSE,155,3.052804424896181,0,0,fire,fire
tsa24_clipped,0,2402005,1201,2402005,hardwood,FALSE,85,1.812979326195168,0,0,fire,fire
tsa24_clipped,1,2401002,204,2401002,softwood,FALSE,78,103.76740323520823,0,0,fire,fire
tsa24_clipped,1,2401002,204,2401002,softwood,FALSE,80,4.173147018452507,0,0,fire,fire
tsa24_clipped,1,2401002,204,2401002,softwood,FALSE,85,282.1296355046733,0,0,fire,fire
tsa24_clipped,1,2401002,204,2401002,softwood,FALSE,91,73.1021561503533,0,0,fire,fire
tsa24_clipped,1,2401002,204,2401002,softwood,FALSE,93,28.37956666951611,0,0,fire,fire
tsa24_clipped,1,2401002,204,2401002,softwood,FALSE,95,94.94675966211176,0,0,fire,fire
tsa24_clipped,1,2401002,204,2401002,softwood,FALSE,105,32.175418531537815,0,0,fire,fire
tsa24_clipped,1,2401002,204,2401002,softwood,FALSE,113,4.184826329641321,0,0,fire,fire
tsa24_clipped,1,2401002,204,2401002,softwood,FALSE,115,50.030816858894816,0,0,fire,fire
tsa24_clipped,1,2401002,204,2401002,softwood,FALSE,125,78.16612132001225,0,0,fire,fire
tsa24_clipped,1,2401002,204,2401002,softwood,FALSE,135,72.24421919373785,0,0,fire,fire
tsa24_clipped,1,2401002,204,2401002,softwood,FALSE,145,96.38442685503642,0,0,fire,fire
tsa24_clipped,1,2401002,204,2401002,softwood,FALSE,153,9.591469412607395,0,0,fire,fire
tsa24_clipped,1,2401002,204,2401002,softwood,FALSE,155,34.32629241113743,0,0,fire,fire
tsa24_clipped,1,2401002,204,2421002,softwood,FALSE,20,0.422054121206099,0,0,fire,harvest
tsa24_clipped,1,2402000,100,2402000,softwood,FALSE,165,0.638005468748551,0,0,fire,fire
tsa24_clipped,1,2402002,204,2402002,softwood,FALSE,78,32.64168183055375,0,0,fire,fire
tsa24_clipped,1,2402002,204,2402002,softwood,FALSE,93,48.21816452980633,0,0,fire,fire
tsa24_clipped,1,2402002,204,2402002,softwood,FALSE,95,33.89498244313859,0,0,fire,fire
tsa24_clipped,1,2402002,204,2402002,softwood,FALSE,115,3.195378954654358,0,0,fire,fire
tsa24_clipped,1,2403000,100,2403000,softwood,FALSE,93,14.811643286926836,0,0,fire,fire
tsa24_clipped,1,2403002,204,2403002,softwood,FALSE,73,2.243990590272984,0,0,fire,fire
tsa24_clipped,1,2403002,204,2423002,softwood,FALSE,9,59.81429119367274,0,0,fire,harvest
tsa24_clipped,1,2403002,204,2423002,softwood,FALSE,18,32.366198551219505,0,0,fire,harvest
