record_id,curve_id,curve_type
90,2401000,unmanaged
91,2402000,unmanaged
92,2422000,managed
93,2403000,unmanaged
94,2423000,managed
95,2401001,unmanaged
96,2402001,unmanaged
97,2403001,unmanaged
98,2423001,managed
99,2401002,unmanaged
100,2421002,managed
101,2402002,unmanaged
102,2422002,managed
103,2403002,unmanaged
104,2423002,managed
105,2401003,unmanaged
106,2402003,unmanaged
107,2422003,managed
108,2403003,unmanaged
109,2423003,managed
110,2401004,unmanaged
111,2402004,unmanaged
112,2422004,managed
113,2403004,unmanaged
114,2423004,managed
115,2401005,unmanaged
116,2402005,unmanaged
117,2403005,unmanaged
118,2401006,unmanaged
119,2402006,unmanaged
120,2403006,unmanaged
121,2401007,unmanaged
122,2421007,managed
123,2402007,unmanaged
124,2422007,managed
125,2403007,unmanaged
126,2423007,managed
