metric,ws3_value,woodstock_value,percent_diff
total_harvest_area_ha,1068.251483345179,1068.251483345179,0.0
total_harvest_volume_m3,153345.81887427493,153345.81887427493,0.0
total_growing_stock_m3,1129630.0591439707,1129630.0591439707,0.0
